id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
696837,"LOCATION, JACUZZ,BALCONY - LUXURY IN OLD TOWN",3568804,Magnus,,Praha 1,50.08355899669989,14.416754992811157,Entire home/apt,2507,3,214,2018-09-06,3.08,5,308
699944,Villa in Bio Garden Central Prague,3590595,Pavel,,Praha 10,50.06812590956276,14.482270491286947,Entire home/apt,741,1,29,2017-01-03,0.45,2,275
700701,History 14 - Old Town,3174648,Petr,,Praha 1,50.0832720292379,14.417761874174928,Entire home/apt,4841,2,3,2015-05-12,0.06,44,362
701042,5 - Nice apt. near OLD TOWN SQUARE,2049124,Jakub,,Praha 1,50.08566135473181,14.418739883429348,Entire home/apt,2028,1,16,2017-08-06,0.24,21,364
701644,BED & BREAKFAST IN PRAGUE CENTER 4,3279605,Elena And Kira,,Praha 2,50.07113779392564,14.43034465544519,Entire home/apt,1003,1,138,2018-08-09,2.07,14,351
701691,The House nearby to Old Town Square,3327137,Pavel,,Praha 1,50.08806842769217,14.425665253403057,Entire home/apt,2791,3,67,2018-08-30,1.31,5,322
702073,History 12 - Historical Center,3174648,Petr,,Praha 1,50.084595543521516,14.420064796712959,Entire home/apt,4579,2,1,2015-05-18,0.02,44,362
702223,GOLD 3 - Old Town (4-room apartm.),3174648,Petr,,Praha 1,50.09148818050984,14.418529310635172,Entire home/apt,5865,2,16,2017-04-28,0.24,44,362
702441,Vltava 3 - Historical Prague Centre,3174648,Petr,,Praha 2,50.07616349591691,14.415375399340357,Entire home/apt,4841,1,5,2016-09-25,0.08,44,362
703706,Apt. with terrace GARSONKA 1,3456260,Dagmar,,Praha 1,50.092739253680136,14.43033140924712,Entire home/apt,1265,3,50,2018-08-28,0.77,4,294
705050,Attic flat in the center of Prague,3622400,Gabriela,,Praha 2,50.06286625773752,14.42383428140325,Entire home/apt,1330,2,190,2018-01-22,2.61,3,296
706726,"HARLEQUIN APARTMENT, PRAGUE CENTER",3228013,Kira And Elena,,Praha 2,50.072891636798964,14.429651292991625,Entire home/apt,1025,1,141,2018-03-04,1.94,20,356
707963, Studio just below Prague Castle,3640353,Anezka,,Praha 1,50.088768977250076,14.400204880427932,Entire home/apt,1875,1,74,2018-06-24,1.09,1,318
