Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
371,371,,2,6,0.264706,0.277978,389.683162,0,0
386,386,,3,6,0.268548,0.283066,435.279612,0.333333,1
387,387,,2,6,0.263449,0.277044,163.3321,0,0
402,402,,5,6,0.271394,0.286153,1513.785013,0,0
476,476,,6,5,0.272653,0.287855,2639.2778,0,0
495,495,,2,6,0.263797,0.27671,358.406822,0,0
580,580,,3,6,0.264216,0.278061,1076.482206,0,0
673,673,,3,6,0.265833,0.280264,1253.275304,0,0
691,691,,2,5,0.284372,0.298348,200.943783,0,0
718,718,,2,6,0.263033,0.276026,202.136738,0,0
787,787,,2,6,0.269127,0.283851,180.327891,0,0
879,879,,2,6,0.264846,0.278095,156.938985,0,0
936,936,,2,6,0.264216,0.277127,589.917347,0,0
23,23,,12,5,0.305131,0.329363,8272.75077,0,0
28,28,,21,5,0.309001,0.337087,16012.575785,0,0
29,29,,14,5,0.310731,0.335652,10748.29417,0.010989,1
33,33,,2,5,0.292619,0.30981,445.671715,0,0
46,46,,8,6,0.29991,0.322339,5531.274332,0.035714,1
48,48,,17,5,0.303371,0.328979,9032.864758,0.022059,3
64,64,,5,5,0.284534,0.303103,2629.442296,0,0
69,69,,2,6,0.278273,0.295245,265.636267,0,0
87,87,,4,5,0.286001,0.30342,1819.357353,0,0
91,91,,5,5,0.286986,0.305372,940.529151,0,0
97,97,,2,6,0.284453,0.301919,859.29886,0,0
98,98,,11,5,0.291509,0.313297,6983.680969,0.018182,1
99,99,,4,5,0.297145,0.315115,1230.952609,0,0
100,100,,7,6,0.287482,0.306039,2759.354493,0,0
109,109,,7,5,0.291084,0.309726,2153.030772,0,0
111,111,,9,6,0.290576,0.311345,4324.14658,0.027778,1
112,112,,10,6,0.283565,0.30367,4500.928685,0,0
119,119,,3,5,0.280303,0.297231,587.19266,0.333333,1
133,133,,8,6,0.286328,0.306323,4088.193153,0,0
146,146,,5,6,0.283968,0.302269,2301.316984,0,0
150,150,,8,6,0.290745,0.31016,3320.380883,0,0
160,160,,3,5,0.294083,0.312062,1028.93571,0,0
169,169,,5,6,0.282523,0.301518,1606.930013,0.1,1
183,183,,4,6,0.282124,0.298966,1662.457403,0.166667,1
208,208,,4,6,0.283244,0.3003,994.024704,0.166667,1
221,221,,2,6,0.279441,0.296313,723.490137,0,0
229,229,,6,5,0.290745,0.309443,2819.875199,0,0
231,231,,4,5,0.285837,0.302686,1120.321092,0,0
252,252,,3,6,0.293306,0.312629,1035.189241,0.333333,1
259,259,,2,6,0.282763,0.298615,379.300111,0,0
284,284,,4,6,0.281726,0.298932,1540.798137,0,0
293,293,,2,6,0.280618,0.297464,0,1,1
295,295,,6,6,0.287069,0.305439,3569.578251,0,0
316,316,,4,5,0.284372,0.301718,1682.645486,0,0
321,321,,6,6,0.284615,0.303453,2125.293557,0.066667,1
331,331,,2,6,0.276349,0.292342,0,1,1
353,353,,8,5,0.289062,0.307791,3662.134426,0,0
367,367,,2,6,0.280382,0.296496,230.56879,0,0
411,411,,3,5,0.278506,0.295829,1116.292886,0,0
418,418,,2,6,0.284453,0.301919,859.29886,0,0
432,432,,6,5,0.283404,0.302419,2952.07626,0,0
479,479,,2,6,0.277038,0.293277,275.971277,0,0
507,507,,2,6,0.278583,0.294811,342.137069,0,0
545,545,,2,6,0.275814,0.291708,106.105808,0,0
550,550,,2,5,0.292619,0.30981,445.671715,0,0
567,567,,2,5,0.277809,0.294178,571.892221,0,0
573,573,,2,6,0.278817,0.295279,552.615318,0,0
608,608,,3,6,0.277346,0.294344,714.915035,0,0
638,638,,2,5,0.276885,0.29301,150.226557,0,0
734,734,,2,6,0.276502,0.292526,102.389828,0,0
737,737,,2,5,0.277809,0.294178,571.892221,0,0
779,779,,3,6,0.276961,0.293577,301.46891,0,0
835,835,,2,6,0.277269,0.29326,400.409789,0,0
865,865,,2,6,0.285266,0.302553,747.284759,0,0
866,866,,2,6,0.278817,0.295212,205.900313,0,0
895,895,,2,6,0.276578,0.292809,319.97366,0,0
913,913,,2,6,0.278583,0.294945,367.353935,0,0
942,942,,2,5,0.277731,0.293544,160.367808,0,0
960,960,,2,6,0.285755,0.302803,303.879145,0,0
980,980,,2,6,0.277115,0.293143,529.621967,0,0
984,984,,2,6,0.276731,0.292776,379.067827,0,0
25,25,,6,6,0.264216,0.281114,2182.1785,0,0
130,130,,5,6,0.254005,0.268218,806.168539,0,0
157,157,,6,6,0.261861,0.278462,1609.449151,0,0
166,166,,3,6,0.240144,0.252936,612.426676,0,0
171,171,,6,6,0.253425,0.269102,1596.180767,0,0
308,308,,4,6,0.271615,0.286053,963.979071,0,0
341,341,,5,6,0.254198,0.268118,1211.809452,0,0
435,435,,3,6,0.245575,0.258725,411.791252,0,0
437,437,,2,6,0.247338,0.261011,145.198471,0,0
456,456,,4,6,0.245093,0.258792,673.657637,0,0
483,483,,2,6,0.239856,0.252269,225.201539,0,0
530,530,,4,6,0.243243,0.257341,921.088965,0,0
666,666,,2,6,0.251447,0.26363,47.513501,0,0
792,792,,2,6,0.238596,0.250934,66.6562,0,0
976,976,,2,6,0.238197,0.25035,195.561443,0,0
985,985,,3,6,0.247584,0.261245,832.482562,0,0
14,14,,23,5,0.296615,0.32299,13482.784756,0.003953,1
63,63,,11,6,0.28125,0.301418,4138.352701,0.018182,1
140,140,,5,6,0.254005,0.268085,1680.718986,0,0
218,218,,3,6,0.249875,0.262896,151.244303,0,0
258,258,,4,6,0.275131,0.291642,1761.918439,0,0
283,283,,4,6,0.252719,0.2663,1528.035843,0,0
299,299,,2,6,0.256812,0.269069,107.788672,0,0
340,340,,4,6,0.260495,0.275108,1213.153581,0,0
357,357,,2,6,0.257806,0.270137,100.085686,0,0
369,369,,2,6,0.254652,0.266667,80.667648,0,0
381,381,,4,6,0.264706,0.280831,847.812775,0.166667,1
393,393,,3,6,0.250816,0.264114,179.289459,0,0
436,436,,3,6,0.255957,0.269937,520.322324,0,0
442,442,,3,6,0.262826,0.27696,895.895013,0,0
676,676,,2,6,0.246363,0.258075,23.19808,0,0
682,682,,2,6,0.249127,0.261295,129.198145,0,0
697,697,,2,6,0.250188,0.262045,91.050978,0,0
826,826,,2,6,0.255107,0.268085,119.993727,0,0
923,923,,2,6,0.25814,0.271255,141.592241,0,0
39,39,,18,5,0.300904,0.325659,10792.528723,0.019608,3
144,144,,12,6,0.271394,0.290123,5482.686431,0.015152,1
253,253,,7,6,0.26548,0.280447,2291.639729,0,0
305,305,,3,6,0.248817,0.260928,689.166245,0,0
370,370,,4,6,0.264566,0.278095,1023.173874,0,0
375,375,,3,6,0.257673,0.270454,1234.112752,0,0
395,395,,2,6,0.253875,0.266283,81.070431,0,0
453,453,,2,6,0.250439,0.261962,36.517381,0,0
723,723,,3,6,0.274225,0.289173,979.49817,0,0
750,750,,2,6,0.24975,0.261361,217.853509,0,0
38,38,,6,6,0.271173,0.288038,3122.620083,0,0
74,74,,13,6,0.272281,0.292092,5648.007787,0.012821,1
129,129,,13,6,0.26548,0.284451,4162.96556,0,0
264,264,,2,6,0.245938,0.257074,146.618342,0,0
317,317,,4,6,0.244733,0.256857,580.104193,0,0
